Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",110559,5.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",110559,10.08,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",110560,2.90,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",110560,5.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",110560,5.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",110560,14.90,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",110561,5.80,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Rail Travel Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",110562,1.15,K&I Devolved Admin-Rail Travel Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",110562,10.00,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",110562,16.84,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Rail Travel Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",110563,3.00,K&I Devolved Admin-Rail Travel Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",110563,10.00,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",110563,13.24,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",110563,14.21,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",110564,3.60,K&I Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",110564,17.90,K&I Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence UK,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",110564,10.00,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence UK,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",110564,22.60,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Mileage Allowance UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",110569,106.20,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",110570,27.83,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",110570,16.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Mileage Allowance UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",110571,3.69,E&S Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",110571,5.00,E&S Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",110571,8.00,E&S Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",110572,191.70,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Taxi Services UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",110573,9.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",110574,14.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Mileage Allowance UK,"People, Strategy and Higher Education - Higher Education","Personal Expense, Name Witheld",110575,21.60,PSHE Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,"People, Strategy and Higher Education - Higher Education","Personal Expense, Name Witheld",110575,17.60,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Taxi Services UK,"People, Strategy and Higher Education - Higher Education","Personal Expense, Name Witheld",110575,8.00,PSHE Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",110576,14.90,K&I Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",110577,3.00,K&I Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",110577,13.80,K&I Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Mileage Allowance UK,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",110578,22.50,K&I Devolved Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",110578,9.20,K&I Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",110579,9.20,K&I Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),110591,29610.71,Growth Vouchers-Current Grants To Private Sector - NPISH,SW1H 0ET,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Interest receivable - PCs - Loans (Consolidated Fund),Shareholder Executive - Corporate Finance Practice,POST OFFICE LTD,110592,-7823.12,POL: Interest on Loans-Interest receivable - PCs - Loans (Consolidated Fund),S49 1PF,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Additions - Other Loans - Public Corporations,Shareholder Executive - Corporate Finance Practice,POST OFFICE LTD,110592,4000000.00,POL: Voted Loans-Additions - Other Loans - Public Corporations,S49 1PF,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Advertising,Enterprise & Skills Group - Enterprise Directorate,TNS UK LTD,110593,11400.00,Growth Vouchers-Advertising,W5 1UA,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Project Management Costs,Enterprise & Skills Group - Enterprise Directorate,WINNING PITCH TRADING LTD,110595,9000.00,Growth Vouchers-Project Management Costs,M5 3EJ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Project Management Costs,Enterprise & Skills Group - Enterprise Directorate,WINNING PITCH TRADING LTD,110595,10044.00,Growth Vouchers-Project Management Costs,M5 3EJ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Current Grants To Private Sector - NPISH,Business & Local Growth - Local Growth Directorate,NOTTINGHAM CITY COUNCIL,110596,148508.14,Cities: Wave 1-Current Grants To Private Sector - NPISH,NG1 5NT,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Additions - Cost - Assets Under Construction - Freehold building,Knowledge & Innovation Group - Innovation Directorate,NATIONAL MEASUREMENT OFFICE,110597,994923.98,NMS Other-Additions - Cost - Assets Under Construction - Freehold building,TW11 0JZ,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Hire of Interim Managers,Finance & Commercial Group - Information and Technology Directorate,CAPITA BUSINESS SERVICES LTD,110600,3014.94,F&C Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Advertising,Enterprise & Skills Group - Enterprise Directorate,M4C (A DIVISION OF GROUPM UK LTD),110603,35.48,Growth Vouchers-Advertising,WC1R 4HQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Advertising,Enterprise & Skills Group - Enterprise Directorate,M4C (A DIVISION OF GROUPM UK LTD),110603,36944.83,Growth Vouchers-Advertising,WC1R 4HQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/08/2015,Printing,Knowledge & Innovation Group - Research Base,WILLIAMS LEA LTD,110611,1310.38,Science & Society: Science for All-Printing,EC1M 4NA,VENDOR,
