Department family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction No,Amount
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,EAST SUSSEX COUNTY COUNCIL,4000201970,34370.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Free School Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",SOUTH WILTSHIRE UTC LTD,4000201972,60000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LEEDS CITY COUNCIL,4000201974,38981.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WALSALL MBC,4000201975,30807.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,CORPORATION OF LONDON,4000201976,25118.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF TOWER HAMLETS COUNCIL,4000201977,32677.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF ISLINGTON COUNCIL,4000201978,29540.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,BRACKNELL FOREST BOROUGH COUNCIL,4000201979,27364.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,SWINDON BOROUGH COUNCIL,4000201980,29053.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WILTSHIRE COUNCIL,4000201981,34820.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,STOKE ON TRENT CITY COUNCIL,4000201982,30114.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,STAFFORDSHIRE COUNCIL,4000201983,39957.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Children's Services and Departmental Strategy Safeguarding Group,Grants to third sector organisations / not for profit organisations and other businesses,ARK UK PROGRAMMES,4000201990,121552.99 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,18/03/2015,Grants,Delivery Directorate,"Grants paid to organisations including agencies, arms length bodies and educational establishments",TRURO & PENWITH COLLEGE TS ACCOUNT,4000201994,32000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF CAMDEN,4000201996,29912.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF WANDSWORTH COUNCIL,4000201997,31200.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF GREENWICH,4000201998,32163.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,4000201999,28651.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,RUTLAND COUNTY COUNCIL,4000202000,25768.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LEICESTER CITY COUNCIL,4000202001,47620.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,CHESHIRE EAST COUNCIL,4000202002,31462.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,CHESHIRE WEST & CHESTER COUNCIL,4000202003,30727.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF SUTTON,4000202004,28923.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Academies Delivery Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",COLWICH COFE PRIMARY SCHOOL,4000202013,25000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Office of the Schools Commissioner Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",BRADFORD DIOCESAN ACADEMIES TRUST,4000202014,75000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF SOUTHWARK COUNCIL,4000202016,32205.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,4000202017,27995.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF LAMBETH COUNCIL,4000202018,32194.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WEST SUSSEX COUNTY COUNCIL,4000202019,39161.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LEICESTERSHIRE COUNTY COUNCIL,4000202022,36554.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,SOUTHAMPTON CITY COUNCIL,4000202023,29427.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,PORTSMOUTH CITY COUNCIL,4000202024,43910.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Office of the Schools Commissioner Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",ST EDMUNDSBURY AND IPSWICH DIOCESAN BOARD OF FINANCE,4000202027,75000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WARWICKSHIRE COUNTY COUNCIL,4000202036,34965.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,SURREY COUNTY COUNCIL,4000202037,46425.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,BOLTON MBC,4000202038,30969.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,HAMPSHIRE COUNTY COUNCIL,4000202041,49258.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,BRIGHTON & HOVE CITY COUNCIL,4000202042,29322.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,DARLINGTON BOROUGH COUNCIL,4000202043,27091.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,DURHAM COUNTY COUNCIL,4000202044,49577.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NORTH TYNESIDE,4000202053,28484.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NEWCASTLE CITY COUNCIL,4000202054,30177.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,GATESHEAD MBC,4000202055,28597.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to third sector organisations / not for profit organisations and other businesses,NATIONAL DAY NURSERIES ASSOCIATION,4000202058,76911.30 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,BOURNEMOUTH BOROUGH COUNCIL,4000202062,27859.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,POOLE BOROUGH COUNCIL,4000202063,27396.00 
